"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Test checkout page","4","0","","0"
"0","","0","Test cart page","4","0","","0"
"0","","0","Test inventory page","7","0","","0"
"0","","0","Test login page","5","0","","0"
